ShipmentID,VendorID,ProductID,Quantity,ShipDate,ActualDeliveryDate,ExpectedDeliveryDate,Status,ShippingMode,CarrierName,DelayReason,DeliveryCost,TrackingID
16,393,1191,12,2025-04-10,2025-04-26,2025-04-28,Delivered,Sea,DHL,,70.6,1a6f4b07-ffef-4152-a555-401ef3acc03a
17,449,229,79,2025-04-23,2025-05-06,2025-05-07,Delivered,Air,Deutsche Post,,100.4,6cc8017e-7014-4a84-b7df-1f77c2dcd6c7
18,443,1457,83,2024-12-11,2025-01-02,2024-12-30,Delivered,Air,Kuehne + Nagel,,94.55,dcda97ca-681f-4f76-ab91-05c735108b01
19,110,165,79,2024-09-12,,2024-09-29,Pending,Sea,Panalpina,,125.07,3d4586de-e387-4d15-ad66-1eaa1ec6ce97
20,167,73,88,2024-11-26,,2024-12-14,Pending,Road,Kuehne + Nagel,,160.34,5c431cea-8e3a-402f-8d9e-ba40e52ffdd8
21,340,1549,47,2025-06-18,2025-07-05,2025-07-04,Delivered,Air,UPS,,71.78,41fadd54-536d-40cb-8539-d6a80e587787
22,351,1594,30,2024-01-22,2024-01-29,2024-01-30,Delivered,Road,XPO Logistics,,151.75,25ce7677-dd7b-4abe-9eb3-e57d0af4058f
23,372,842,49,2025-04-20,2025-05-10,2025-05-09,Delivered,Sea,DHL,,119.58,163bb9e1-3135-4e75-bb5e-68232c37f38b
24,182,290,37,2024-06-26,2024-07-06,2024-07-08,Delivered,Sea,Panalpina,,24.47,218b3288-d7f2-4d04-9664-4f3a2632b1a7
25,174,1953,65,2024-06-19,2024-07-02,2024-06-29,Delivered,Road,Expeditors International,,140.69,67cdd851-0d12-4667-b789-d5f88816dcc6
26,55,822,77,2024-05-25,2024-06-09,2024-06-06,Delivered,Sea,Estes Express Lines,,65.22,2e44a141-0d7b-471c-89b4-806e767fccf9
27,147,1436,26,2025-02-04,,2025-02-13,Pending,Road,Estes Express Lines,,132.94,b92e39df-4441-48b6-8283-16cfede5c016
28,387,1829,90,2024-06-25,2024-07-15,2024-07-04,Delayed,Road,Old Dominion Freight Line,Logistics Issue,83.8,8713301d-953e-470c-b739-fdbd0e64f1f5
29,133,1484,43,2023-12-31,2024-01-13,2024-01-11,Delivered,Air,DB Schenker,,66.54,e2de7e47-8d64-4c7d-9df9-3121841ecff5
30,446,1742,48,2025-07-11,2025-07-26,2025-07-25,Delivered,Air,FedEx,,135.15,a69a15dc-0c9e-4113-897c-f6884bb30b6f
31,423,1921,51,2024-06-25,2024-07-05,2024-07-05,Delivered,Sea,Saia,,159.25,b7f49a5a-e6ff-43a1-8c09-74b802eb5236
32,491,201,93,2024-12-27,2025-02-09,2025-01-23,Delayed,Sea,J.B. Hunt,Logistics Issue,192.2,f1355935-17b0-42ab-9616-b4ff8497fa6a
33,442,10,67,2024-08-12,2024-09-02,2024-08-30,Delivered,Air,J.B. Hunt,,111.48,23727264-5173-44b0-83e9-0f295f9bbfab
34,126,582,5,2025-04-16,2025-05-02,2025-04-29,Delivered,Sea,Saia,,193.98,fe36a523-551c-49c5-be94-6644926f649e
35,486,1794,11,2024-04-05,2024-05-01,2024-04-28,Delivered,Air,Deutsche Post,,192.94,dc80da86-e4e9-45a2-b403-60dc05b85866
36,125,421,92,2024-03-13,2024-03-23,2024-03-25,Delivered,Air,Old Dominion Freight Line,,114.18,8742f328-0da3-480c-a656-f4eec9595689
37,482,135,60,2025-05-31,2025-07-18,2025-06-30,Delayed,Road,C.H. Robinson,Logistics Issue,74.41,7277795b-5b19-40e0-ae8b-04fc20938805
38,56,1657,70,2024-04-13,2024-05-03,2024-05-02,Delivered,Road,Ryder,,127.59,d1cc50eb-a414-426e-903a-dc05efc9e453
39,100,1166,39,2024-04-21,2024-05-14,2024-05-07,Delayed,Road,YRC Worldwide,Missing Documentation,147.2,6e447d5d-0a1c-4349-864f-c72540c6dc3f
40,204,228,94,2024-02-23,2024-03-06,2024-03-03,Delivered,Air,DHL,,72.29,d6cb6afc-435f-4c22-8c0b-ab3ea7b25e6e
41,316,1873,29,2024-05-05,2024-05-12,2024-05-13,Delivered,Road,UPS,,20.26,29bd1428-0a48-42e3-8341-6b3265139e54
42,123,1280,7,2024-03-24,2024-04-03,2024-04-04,Delivered,Sea,Panalpina,,168.09,2e35eaef-05d2-4b2f-bd18-8758066a3b29
43,210,754,75,2024-07-28,2024-08-13,2024-08-10,Delivered,Air,ArcBest,,63.59,7025e3af-a598-4c63-a85b-1115f84fac90
44,444,227,30,2025-09-05,2025-09-18,2025-09-15,Delivered,Road,Deutsche Post,,79.08,a815c0ab-c2e3-4100-a285-0d20f42a2e2d
45,142,1708,53,2024-08-10,2024-08-24,2024-08-22,Delivered,Road,XPO Logistics,,79.15,f97f6305-dcc0-46a5-80c2-8d351bb74724
46,16,1650,100,2024-10-26,2024-11-05,2024-11-02,Delivered,Sea,YRC Worldwide,,77.49,860d89f4-3c27-493f-9478-7bfc025f0ac8
47,29,48,48,2025-06-16,2025-06-17,2025-06-19,Delivered,Road,USPS,,132.46,9e9d92d9-50ce-4452-8a79-77f71dd39384
48,44,591,73,2023-10-11,2023-10-16,2023-10-18,Delivered,Sea,UPS,,45.21,034fb25b-7e74-4c4c-a84d-626d9a6dc0e5
49,356,93,41,2024-09-02,2024-09-19,2024-09-16,Delivered,Road,XPO Logistics,,136.8,bf315aff-4ac5-4a89-a4ff-246886a89f38
50,302,8,14,2025-05-30,2025-06-12,2025-06-14,Delivered,Air,DB Schenker,,57.32,92005762-4bc3-444a-94da-02fcb1164942
51,115,743,1,2024-05-03,2024-05-18,2024-05-18,Delivered,Road,Ryder,,191.95,65c64714-1e3d-45a9-92a5-ec0d18141f46
52,19,522,26,2025-04-03,2025-04-09,2025-04-08,Delivered,Air,Panalpina,,61.16,69d2a5ac-c49e-4a40-90ae-dc08430837ef
53,235,1945,59,2024-04-01,2024-04-21,2024-04-09,Delayed,Road,C.H. Robinson,Supplier Delay,140.79,47d42a1a-de58-4023-9792-2849d843d8e0
54,7,762,42,2025-01-21,2025-01-26,2025-01-28,Delivered,Road,TNT Express,,177.94,780ced9b-dae2-4942-abf6-f67d94265ac8
55,69,785,18,2025-08-26,2025-09-09,2025-09-09,Delivered,Road,USPS,,40.87,b7eb9779-6a82-4a25-997f-04110a90652b
56,107,1839,56,2024-05-10,2024-06-10,2024-05-29,Delayed,Road,UPS,Missing Documentation,33.2,5f96b100-4273-4dfb-9286-02df613891e3
57,96,1316,42,2024-12-27,2025-01-15,2025-01-12,Delivered,Road,Kuehne + Nagel,,148.86,a69618d2-0567-45f9-9823-505f0e1768f6
58,397,98,89,2025-02-01,2025-02-07,2025-02-09,Delivered,Air,XPO Logistics,,109.76,3e034b9d-7d3c-433f-8607-87b381bacf31
59,449,606,4,2024-06-26,2024-07-13,2024-07-10,Delivered,Sea,XPO Logistics,,117.25,a7bf3ccf-5491-4809-9797-8d55e29c32ac
60,172,1330,52,2025-07-06,2025-07-23,2025-07-22,Delivered,Air,C.H. Robinson,,170.16,23c4811d-48b6-4fac-8731-01b746dd4d8a
61,460,987,51,2024-11-30,2024-12-31,2024-12-29,Delivered,Road,Saia,,18.07,8ef61095-a90a-406c-b934-58f0aeaf958c
62,246,1954,36,2023-11-19,2023-12-05,2023-12-04,Delivered,Sea,UPS,,97.15,7f09c302-9512-4432-8fc0-f20c4e27e0b5
63,136,951,10,2024-10-19,2024-10-29,2024-10-29,Delivered,Road,Expeditors International,,87.96,9d1fa273-0692-4269-9670-05b1d330175b
64,364,1051,52,2023-10-04,2023-10-17,2023-10-16,Delivered,Sea,XPO Logistics,,32.6,736e18f0-1d3a-4066-b670-cb6207082e94
65,358,990,54,2023-10-26,2023-11-15,2023-11-12,Delivered,Sea,C.H. Robinson,,179.52,ba7983c0-2d5c-4714-8664-bc4699e095a7
66,185,989,52,2025-03-18,2025-04-01,2025-04-03,Delivered,Air,Expeditors International,,73.66,1d5cd8a1-adbe-4d3a-92de-b9cf09b3b8bc
67,276,513,17,2024-03-13,2024-03-23,2024-03-23,Delivered,Air,DHL,,27.64,7a1eceae-2226-4a49-9844-ca3c3e451808
68,453,1146,8,2024-10-16,2024-11-16,2024-11-13,Delivered,Road,C.H. Robinson,,116.14,e41230e0-1655-44dc-9d43-19ae9bc8343b
69,396,1472,24,2024-11-19,2024-12-17,2024-11-28,Delayed,Air,USPS,Customs,10.52,82f1a248-4c5a-48ab-9a4f-fa5c1be6f417
70,23,1524,57,2024-11-09,,2024-11-13,Pending,Road,Saia,,48.28,d07d4f22-d59c-4de1-bd01-c786769a9f4b
71,127,882,85,2024-02-28,2024-03-08,2024-03-10,Delivered,Sea,Expeditors International,,162.99,da9a68da-d8ac-489e-994b-b92ae0205ef8
72,62,1600,38,2024-08-07,2024-08-22,2024-08-22,Delivered,Sea,C.H. Robinson,,28.15,7f41569d-b2d3-4c4b-ab45-ee76f369b250
73,44,1569,47,2023-11-22,2023-12-04,2023-11-29,Delayed,Road,Saia,Logistics Issue,80.4,cc7d68d2-9ad9-44c0-8b78-2970e102f890
74,438,767,41,2025-01-19,2025-02-01,2025-02-02,Delivered,Air,DB Schenker,,75.78,8cb0d577-6830-40c0-9662-8413ef4821a5
75,307,1265,25,2024-02-12,2024-02-29,2024-02-26,Delivered,Road,DHL,,50.31,697feaa3-003c-43fd-bee7-5902ba4c6c7e
76,361,1840,11,2024-12-20,2025-01-02,2025-01-01,Delivered,Road,J.B. Hunt,,191.73,e2b36792-4c76-4dd8-8ab3-afb1892cabb2
77,405,1630,20,2025-05-19,2025-05-28,2025-05-27,Delivered,Sea,Old Dominion Freight Line,,75.89,fd4b0c2a-7ea7-42c5-8b4d-191332d40541
78,38,1121,96,2024-05-22,2024-05-27,2024-05-29,Delivered,Road,Amazon Logistics,,6.06,920682fc-d725-4fa0-9ce5-679dad6ae1cc
79,146,1772,73,2024-07-04,2024-07-21,2024-07-16,Delayed,Sea,Deutsche Post,Logistics Issue,38.41,50c6fa20-addd-47b8-b20a-795c27008c2a
80,182,588,15,2025-09-16,2025-10-14,2025-09-28,Delayed,Sea,YRC Worldwide,Weather,106.92,d7975fc0-c036-488c-b219-16d063261e1d
81,470,133,36,2025-05-03,2025-06-02,2025-05-30,Delivered,Sea,DB Schenker,,74.51,c52dfc47-380c-4f83-8d55-d2365b3f05f7
82,219,1243,95,2024-10-30,2024-11-07,2024-11-08,Delivered,Air,C.H. Robinson,,169.68,21579cce-9805-4898-bf7d-fa9f70e3548a
83,263,361,2,2025-03-23,2025-04-13,2025-04-10,Delivered,Road,J.B. Hunt,,157.99,095d54fa-499e-491b-b93e-f07d55395f92
84,443,69,79,2025-04-07,2025-04-25,2025-04-26,Delivered,Road,UPS,,98.66,ea48a559-30d7-461f-951a-b39872a71378
85,86,734,79,2024-08-31,,2024-09-17,Pending,Sea,USPS,,96.76,01509c23-cca6-42a0-aff5-b922d18e85b6
86,399,1700,23,2025-05-07,2025-05-18,2025-05-19,Delivered,Sea,C.H. Robinson,,185.38,5e1b00e8-5fae-4a16-8ad1-06c58f3390bb
87,171,1929,22,2025-02-22,2025-03-02,2025-03-03,Delivered,Air,FedEx,,89.34,db79274d-b22b-498a-8329-b2e196d8e315
88,318,13,100,2025-08-26,2025-09-14,2025-09-09,Delayed,Sea,FedEx,Customs,146.31,e38213b2-2080-4223-8a48-7eca0530c9cb
89,486,703,7,2025-04-25,2025-05-16,2025-05-18,Delivered,Air,Ryder,,123.63,109c1aec-64e7-468b-8e7f-3f8c4160002f
90,409,1110,99,2024-04-30,2024-05-20,2024-05-19,Delivered,Sea,USPS,,12.96,56f44cd3-d3e1-40d5-a0bb-36dd257aa126
91,10,359,56,2025-08-26,2025-09-02,2025-09-02,Delivered,Road,TNT Express,,83.59,aa88bdf0-dada-451a-813b-c3e201fab3cc
92,388,143,75,2024-10-07,,2024-10-18,Pending,Air,Deutsche Post,,165.59,5c0712ac-9117-4a5f-9645-adb24356f68d
93,2,1782,81,2025-03-25,2025-03-31,2025-03-28,Delivered,Sea,XPO Logistics,,53.04,5d4ad631-5caa-46f8-80c1-5b601d4eeea0
94,156,282,21,2024-12-01,2025-01-02,2024-12-19,Delayed,Road,Kuehne + Nagel,Supplier Delay,111.47,beb877b8-f6d9-4f59-bca7-2ef7ce6dc400
95,119,1895,70,2025-05-09,,2025-05-17,Pending,Road,Panalpina,,187.75,88f6bd10-7a68-4ba6-84de-313cb3751d70
96,214,1523,39,2024-04-07,,2024-04-23,Pending,Road,YRC Worldwide,,10.35,f2e54a73-eef2-487f-8785-5027cabfee37
97,470,1058,77,2024-06-22,2024-07-21,2024-07-19,Delivered,Sea,Estes Express Lines,,163.39,c52a05a4-aec4-440d-889b-3400765a31d3
98,380,1539,90,2024-10-24,2024-11-03,2024-11-03,Delivered,Sea,C.H. Robinson,,8.56,2c9898a9-3714-4238-b931-92b867cbf0de
99,341,261,57,2025-03-13,2025-04-01,2025-03-31,Delivered,Road,Expeditors International,,27.12,95de5b00-3698-4192-aaf4-7b2863245064
100,96,1005,40,2024-01-09,2024-01-26,2024-01-25,Delivered,Road,DHL,,43.8,7d902195-dc29-473f-a4f1-b8415a8fe7a7
101,18,966,59,2025-04-23,2025-04-28,2025-04-26,Delivered,Road,Ryder,,16.31,
102,469,739,8,2025-09-02,2025-09-28,2025-09-25,Delivered,Air,ArcBest,,-20.0,308e03a6-ae30-4cba-81fb-8c5d419d21a1
103,395,209,7,2024-10-07,2024-10-19,2024-10-17,  pending  ,Road,USPS,,42.87,48249bff-d37c-4356-b1f1-c35971209d02
104,337,1335,66,2024-04-09,2024-04-04,2024-04-20,Delivered,Road,DB Schenker,,166.79,5525be89-98ee-434b-8b4a-57751563507b
105,254,11,69,2025-05-20,,2025-06-07,Delivered,Road,Panalpina,,176.16,4ea8595d-fa71-4c33-8b79-f176de59a2d0
106,256,1143,85,2025-02-04,2025-02-20,2025-02-22,Delivered,Air,Ryder,,186.85,e7f8acf3-d227-4872-8241-64469acb7098
107,121,1800,74,2025-03-03,2025-03-31,2025-03-12,Delayed,Air,FedEx,Logistics Issue,149.73,e61886be-c1ff-45d5-b0b2-160bb9825a45
108,490,736,68,2024-09-06,2024-09-27,2024-09-27,Delivered,Air,Estes Express Lines,,173.32,4ede1c7e-4819-4932-a8b4-e61ed0f528ec
109,255,1315,9,2025-01-18,2025-02-01,2025-02-02,Delivered,Road,XPO Logistics,,197.25,b290d05c-0dc4-4b43-9411-27fb587e0835
110,179,648,20,2025-06-02,2025-06-16,2025-06-15,Delivered,Air,Ryder,,20.7,edff60f1-5454-44ff-ac84-f12d9e1ec3b6
111,356,810,66,2025-09-11,2025-09-27,2025-09-25,Delivered,Air,Expeditors International,,171.96,6f98dfd5-24fe-4c8e-b22d-453652f4cb79
112,413,243,24,2025-09-08,2025-09-28,2025-09-26,Delivered,Road,Expeditors International,,65.13,59716fba-213e-4cf8-be46-311d62e308dd
113,142,834,45,2025-04-24,2025-05-04,2025-05-06,Delivered,Air,Amazon Logistics,,87.24,8e58768e-fc6a-4745-99b7-999acb56cb87
114,391,1362,46,2024-09-09,2024-09-18,2024-09-20,Delivered,Sea,Expeditors International,,87.6,b0569ade-9a57-4f88-adc6-472717bfc249
115,177,1706,65,2024-04-30,2024-05-10,2024-05-12,Delivered,Road,USPS,,10.91,a6514393-2a65-4026-8196-d2efe746a5cb
116,497,334,8,2025-01-06,2025-02-05,2025-02-03,Delivered,Air,TNT Express,,55.33,92ff31fb-7bbf-446a-8e6a-f040991c5157
117,258,959,85,2025-09-21,2025-09-29,2025-10-01,Delivered,Sea,C.H. Robinson,,92.82,7c0872ff-54d6-4608-bc8e-27f4fedc0961
118,327,266,47,2024-10-13,2024-10-30,2024-10-27,Delivered,Air,UPS,,76.82,c1f01550-1a00-412b-905e-3440623a2d91
119,307,565,79,2025-07-19,2025-08-03,2025-08-02,Delivered,Air,Estes Express Lines,,193.74,df14e7e0-501e-4a8a-828e-9a8287ab7269
120,16,1589,29,2023-12-05,2023-12-15,2023-12-12,Delivered,Air,UPS,,56.72,cec5666f-e350-4ac8-b060-4595f602c9ec
121,299,1115,32,2025-08-31,2025-09-10,2025-09-11,Delivered,Road,Estes Express Lines,,170.52,bf94d336-e332-4247-b68c-5ddf01614f2a
122,153,1736,18,2024-01-07,2024-01-18,2024-01-17,Delivered,Sea,Kuehne + Nagel,,120.89,9367c4bc-c7b0-4359-9df3-f6e7ab80436f
123,375,437,44,2023-10-22,2023-11-11,2023-11-09,Delivered,Road,Old Dominion Freight Line,,168.54,c027d360-beb1-46dc-b44f-3e2906351822
124,396,1516,10,2025-02-22,2025-03-05,2025-03-03,Delivered,Road,Amazon Logistics,,15.37,06b5e33b-225b-43cc-ba2b-a2e7aaed2b99
125,401,1140,24,2025-08-27,2025-09-06,2025-09-04,Delivered,Air,XPO Logistics,,157.76,28142966-df76-485b-aa1e-94c65d63c249
126,187,1074,64,2024-06-12,2024-06-29,2024-06-26,Delivered,Air,Panalpina,,87.63,7f7417ed-59fe-43af-9b30-cf76078d9893
127,139,1126,55,2025-08-12,2025-08-25,2025-08-24,Delivered,Sea,FedEx,,23.4,42d3b535-1d7a-4e62-a449-4bbca27522f4
128,220,165,2,2024-11-20,2024-12-02,2024-11-29,Delivered,Air,J.B. Hunt,,16.87,22fec678-d4c3-49ab-8231-2994fdfb2c1c
129,311,1172,78,2025-08-16,2025-09-06,2025-09-03,Delivered,Air,YRC Worldwide,,109.29,a9a03750-6c2e-4408-8c1c-7fb31016e26d
130,47,1155,61,2025-05-07,2025-05-15,2025-05-14,Delivered,Sea,ArcBest,,34.93,6de173b3-77ac-4c67-a3ed-210947702577
131,361,45,40,2024-03-21,2024-03-31,2024-04-02,Delivered,Road,Panalpina,,145.19,eb1d0a89-08f7-48dd-a54e-e89bd4ce01dd
132,448,827,32,2025-09-09,2025-09-21,2025-09-22,Delivered,Road,Kuehne + Nagel,,54.81,043f4286-c495-459f-8521-b70f63c0209e
133,199,627,99,2024-08-13,2024-08-25,2024-08-23,Delivered,Air,Panalpina,,130.92,0fdf126c-2235-48d8-8af9-d9109d7799b9
134,25,695,99,2025-02-19,2025-02-24,2025-02-23,Delivered,Sea,Amazon Logistics,,18.08,cca1cdfd-dff9-46c0-bd28-289326f9d29a
135,471,1140,72,2024-02-13,2024-03-12,2024-03-10,Delivered,Road,DB Schenker,,164.09,89cbbf26-c906-41f5-9844-3922dd64336b
136,205,1666,35,2024-10-20,2024-11-09,2024-11-08,Delivered,Road,Panalpina,,89.48,3b23ced8-a01e-4534-a002-78d7f6d68d7c
137,474,1769,2,2025-09-19,2025-10-17,2025-10-18,Delivered,Road,Expeditors International,,14.94,b5e9bbc4-6056-4277-9fb0-7aae466eb327
138,87,1276,52,2024-04-28,2024-05-08,2024-05-06,Delivered,Sea,J.B. Hunt,,142.86,8d3aa887-9350-4ef2-b2cd-5247e3161041
139,470,299,45,2025-01-18,2025-02-22,2025-02-14,Delayed,Air,J.B. Hunt,Customs,25.27,0748d61d-41a8-45be-a269-45497aee7201
140,446,1192,85,2023-12-24,2024-01-08,2024-01-07,Delivered,Road,DB Schenker,,58.7,8548645e-68a3-40d1-bbd5-28380fa148ff
141,183,657,94,2025-08-18,2025-09-02,2025-09-04,Delivered,Road,Expeditors International,,125.22,b1689df7-04fe-4baa-bab1-53b6f0e4e47a
142,118,1908,36,2025-04-01,2025-04-15,2025-04-17,Delivered,Sea,FedEx,,11.85,ca6db2c4-e5ef-44f7-b18e-3466f5bd3c0d
143,382,987,49,2023-10-05,2023-10-25,2023-10-24,Delivered,Sea,XPO Logistics,,104.92,15c78617-adab-43fb-a381-8e61539b3995
144,185,697,49,2024-04-11,2024-04-25,2024-04-27,Delivered,Road,Old Dominion Freight Line,,94.57,a5e138d9-a046-433b-bd0f-5882de74571c
145,51,1547,59,2025-01-08,2025-01-28,2025-01-27,Delivered,Road,J.B. Hunt,,189.64,e779489b-ba95-4f7e-80d7-61e7f0e71e26
146,321,735,6,2025-07-06,2025-07-20,2025-07-21,Delivered,Road,Panalpina,,120.02,660878b7-eebc-4c57-b0a1-fbb82ac86a47
147,472,1967,85,2023-12-26,2024-02-08,2024-01-22,Delayed,Road,XPO Logistics,Missing Documentation,137.38,6ced71ad-a6c9-4319-8d8e-55dae5710bab
148,317,1516,25,2024-09-02,2024-09-19,2024-09-17,Delivered,Air,Deutsche Post,,176.56,ec071441-72b6-4bf4-8281-0596c8ee2ab7
149,491,291,79,2025-05-16,2025-06-13,2025-06-12,Delivered,Sea,C.H. Robinson,,128.08,a3b23ebe-38f1-4022-9204-41f33560a66e
150,201,873,77,2024-03-06,2024-03-27,2024-03-24,Delivered,Air,DHL,,100.16,1a70cb82-1800-461d-aaf8-b092b78fe9d7
151,80,923,97,2024-09-18,2024-10-03,2024-10-02,Delivered,Road,FedEx,,44.46,d091d4e4-257b-4b79-8bbd-7ac0d9835363
152,133,827,17,2024-09-07,2024-09-21,2024-09-18,Delivered,Sea,Saia,,134.62,3fee1a11-bd61-40d7-b8d6-b7c990bfc9c6
153,441,922,71,2024-06-01,2024-06-12,2024-06-14,Delivered,Road,XPO Logistics,,138.85,3e173334-7912-4753-9209-862159a9e2c2
154,120,26,48,2024-01-23,2024-02-13,2024-02-10,Delivered,Air,Old Dominion Freight Line,,76.39,65b21065-c100-413c-81b2-3d34aff78b42
155,59,1933,5,2024-11-06,2024-11-14,2024-11-15,Delivered,Air,DB Schenker,,122.17,a75b5460-78f7-40fb-9089-a78c7bd7eb70
156,385,1351,83,2024-09-30,2024-10-15,2024-10-15,Delivered,Road,XPO Logistics,,142.7,cf2c843c-2f18-404f-8ea4-1071c2eb543c
157,416,176,22,2025-08-16,2025-08-22,2025-08-24,Delivered,Air,Panalpina,,123.04,96c38be2-9995-4277-b198-d138817330a2
158,187,863,57,2023-12-25,,2024-01-08,Pending,Air,Ryder,,13.25,aba24923-6658-44cd-9448-093a098ed0e7
159,258,1748,74,2023-11-26,2023-12-05,2023-12-06,Delivered,Air,J.B. Hunt,,102.47,9b093fc2-e9a3-4b3a-96e2-3e31566d2009
160,418,1899,21,2024-10-13,2024-10-24,2024-10-23,Delivered,Sea,Saia,,177.87,eddbbf50-ef2d-419c-afe5-8376be7de8bb
161,240,283,22,2024-10-19,2024-11-09,2024-11-06,Delivered,Sea,J.B. Hunt,,175.95,776d95a8-ca26-41d2-bbb2-9dcc74047d99
162,367,982,55,2025-06-22,2025-07-07,2025-07-05,Delivered,Road,Panalpina,,181.3,b90bc606-f4a6-4db8-ae54-f7befccc4cc7
163,87,1738,64,2024-01-19,2024-01-25,2024-01-27,Delivered,Road,Amazon Logistics,,37.27,5920c34c-dc4b-46e1-9d2d-ff1b314b6a4b
164,351,559,45,2024-07-04,2024-07-11,2024-07-12,Delivered,Road,C.H. Robinson,,35.8,58df7b1c-fb1a-4e49-a3a0-9ef1e76bb9d4
165,98,840,23,2023-11-30,2023-12-11,2023-12-12,Delivered,Road,Old Dominion Freight Line,,167.13,1f7873a7-c7b7-40b1-adbb-238c50e66889
166,183,1662,34,2024-11-18,2024-12-05,2024-12-05,Delivered,Air,Estes Express Lines,,94.25,c7cc220b-5478-45b9-a4b7-e08d7edc3351
167,292,550,80,2025-02-19,,2025-03-03,Pending,Air,DHL,,87.22,6bed51a0-008a-4280-90ce-7396183d43ed
168,492,546,82,2024-09-20,2024-10-18,2024-10-20,Delivered,Road,C.H. Robinson,,65.22,f13f6c26-848e-433d-9ab9-e4b683984feb
169,307,104,60,2025-04-03,2025-04-15,2025-04-17,Delivered,Air,USPS,,39.06,615e27f3-464e-42f2-ba9c-97efc33bca29
170,182,117,34,2024-01-18,2024-02-06,2024-01-30,Delayed,Sea,Old Dominion Freight Line,Supplier Delay,185.52,0d1d8edc-8841-46ab-b170-2bc553e88801
171,219,117,47,2024-05-02,2024-05-09,2024-05-11,Delivered,Air,YRC Worldwide,,154.34,125b7386-deef-433d-8431-357095676ce8
172,30,347,19,2023-11-21,2023-11-22,2023-11-24,Delivered,Sea,DB Schenker,,193.98,e7723c0f-811b-4361-a6cb-5068c3e95095
173,153,338,62,2024-11-12,2024-11-24,2024-11-22,Delivered,Air,FedEx,,97.35,1de52f11-80ae-4105-858c-9a492eb0d338
174,138,1673,32,2024-02-07,2024-03-09,2024-02-22,Delayed,Sea,DHL,Supplier Delay,36.81,2bad643a-448d-44a4-9a83-065095c18844
175,281,1111,77,2024-06-21,2024-07-01,2024-07-01,Delivered,Sea,USPS,,77.79,4ce23379-3eac-4e62-a098-0d1745bbe790
176,66,741,71,2024-05-04,2024-05-10,2024-05-12,Delivered,Air,DB Schenker,,124.49,05dd09b6-2006-4367-ab5b-10066ca96304
177,480,1374,93,2024-04-18,2024-05-08,2024-05-10,Delivered,Air,Ryder,,119.79,c2486e0e-d845-4d78-b82e-322d1739c903
178,117,1235,37,2024-04-30,2024-05-14,2024-05-13,Delivered,Air,ArcBest,,153.96,0864fd76-eceb-4492-9090-6abb89bbc9ef
179,222,1531,70,2024-10-07,2024-10-21,2024-10-23,Delivered,Air,Panalpina,,192.17,4d870074-9552-4187-9913-e4e141a12fa6
180,461,904,25,2025-03-29,2025-04-30,2025-04-27,Delivered,Air,UPS,,95.41,4c12909d-3374-4bd4-9d6f-94f596608e53
