InventoryID,ProductID,WarehouseID,StockOnHand,ReorderLevel,SafetyStock,StockAgeDays,AvgMonthlySales,StockStatus,LastPurchasePrice,LastUpdated
43,3,3,369,63.0,10,312,15.76,Overstock,381.79,2025-01-27
44,3,4,769,65.0,7,230,7.72,Overstock,323.56,2025-09-16
45,3,5,323,54.0,4,337,23.27,Overstock,476.34,2024-12-10
46,3,6,673,87.0,5,6,29.77,Overstock,169.36,2025-08-05
47,3,7,495,51.0,2,40,21.76,Overstock,386.02,2025-09-02
48,3,8,872,73.0,2,254,29.44,Overstock,473.79,2025-07-05
49,3,9,456,96.0,2,314,22.75,Overstock,311.41,2025-02-02
50,3,10,705,63.0,7,75,36.98,Overstock,312.7,2025-03-28
51,3,11,426,73.0,3,202,20.51,Overstock,369.83,2024-10-24
52,3,12,524,65.0,7,216,28.61,Overstock,301.73,2025-09-05
53,3,13,490,80.0,1,111,38.85,Overstock,133.47,2025-08-15
54,3,14,838,52.0,3,22,19.05,Overstock,386.45,2024-10-06
55,3,15,990,98.0,9,109,19.39,Overstock,135.48,2025-09-09
56,3,16,552,88.0,3,245,6.21,Overstock,498.58,2025-04-21
57,3,17,354,72.0,6,303,45.44,Overstock,306.1,2025-06-18
58,3,18,967,77.0,2,141,27.42,Overstock,346.32,2025-05-08
59,3,19,548,67.0,8,260,35.17,Overstock,272.99,2025-01-10
60,3,20,909,51.0,3,167,20.74,Overstock,416.75,2025-06-25
61,4,1,893,68.0,7,210,43.95,Overstock,360.38,2025-05-03
62,4,2,971,65.0,10,301,39.67,Overstock,453.11,2024-12-03
63,4,3,523,63.0,9,303,42.96,Overstock,346.23,2024-12-19
64,4,4,342,74.0,8,138,30.47,Overstock,157.54,2025-03-30
65,4,5,886,78.0,4,222,5.12,Overstock,237.6,2025-01-08
66,4,6,990,59.0,3,77,31.43,Overstock,231.44,2024-10-19
67,4,7,447,80.0,2,217,38.47,Overstock,431.75,2025-03-07
68,4,8,436,67.0,1,229,41.16,Overstock,493.96,2025-09-14
69,4,9,884,77.0,6,286,35.37,Overstock,374.71,2024-11-09
70,4,10,972,87.0,1,215,46.93,Overstock,37.18,2024-10-09
71,4,11,548,78.0,10,103,33.66,Overstock,407.25,2025-02-04
72,4,12,489,79.0,2,272,42.47,Overstock,66.7,2025-10-01
73,4,13,513,90.0,3,33,29.28,Overstock,311.58,2025-08-23
74,4,14,961,53.0,3,355,27.94,Overstock,14.63,2025-07-01
75,4,15,436,65.0,1,187,32.77,Overstock,383.11,2025-09-28
76,4,16,357,64.0,7,154,6.1,Overstock,433.23,2025-03-14
77,4,17,375,50.0,3,334,8.29,Overstock,248.38,2025-07-08
78,4,18,452,96.0,8,213,46.33,Overstock,361.53,2025-02-26
79,4,19,913,67.0,2,96,43.17,Overstock,100.57,2025-06-20
80,4,20,844,100.0,7,46,30.4,Overstock,495.97,2024-11-15
81,5,1,755,50.0,1,84,38.02,Overstock,166.25,2025-06-03
82,5,2,303,85.0,8,284,37.25,Overstock,154.15,2025-01-21
83,5,3,660,53.0,10,101,6.19,Overstock,345.26,2025-06-05
84,5,4,928,52.0,2,279,46.23,Overstock,53.94,2025-08-23
85,5,5,628,92.0,3,164,23.69,Overstock,428.46,2025-08-19
86,5,6,686,74.0,3,64,20.74,Overstock,234.55,2025-10-01
87,5,7,928,90.0,7,277,33.46,Overstock,369.33,2025-07-27
88,5,8,350,67.0,8,280,33.83,Overstock,339.98,2025-06-17
89,5,9,534,72.0,3,165,22.71,Overstock,286.17,2025-03-28
90,5,10,524,82.0,4,6,44.48,Overstock,288.3,2024-12-03
91,5,11,361,62.0,7,81,9.82,Overstock,178.66,2025-08-07
92,5,12,358,56.0,10,239,44.66,Overstock,410.84,2025-08-29
93,5,13,901,80.0,7,14,12.25,Overstock,91.46,2025-03-22
94,5,14,463,54.0,1,50,43.17,Overstock,89.23,2025-01-28
95,5,15,956,69.0,7,255,34.63,Overstock,205.94,2025-08-30
96,5,16,391,99.0,5,74,25.8,Overstock,301.65,2024-10-21
97,5,17,470,86.0,5,273,33.46,Overstock,196.42,2025-03-27
98,5,18,316,65.0,1,102,20.33,Overstock,185.71,2024-12-06
99,5,19,333,59.0,1,238,35.72,Overstock,377.32,2024-11-03
100,5,20,793,88.0,5,161,43.94,Overstock,233.99,2025-03-13
101,6,1,-10,94.0,5,232,13.41,Overstock,466.9,2024-10-03
102,6,2,445,,1,127,25.85,Overstock,158.3,2025-03-03
103,6,3,817,68.0,7,89,17.65,stock_low,88.22,2025-09-11
104,6,4,784,90.0,5,-5,22.98,Overstock,493.18,2025-05-11
105,6,5,407,73.0,7,51,-1.0,Overstock,497.46,2025-05-04
106,6,6,672,61.0,3,24,23.59,Overstock,82.72,2025-09-12
107,6,7,929,56.0,8,164,28.0,Overstock,367.99,2024-11-14
108,6,8,415,96.0,1,243,7.88,Overstock,395.41,2025-01-12
109,6,9,579,57.0,3,175,31.85,Overstock,467.87,2025-08-22
110,6,10,391,69.0,8,55,32.0,Overstock,357.19,2025-04-29
111,6,11,544,100.0,10,44,47.52,Overstock,453.57,2025-05-12
112,6,12,555,53.0,3,6,9.8,Overstock,180.27,2025-07-28
113,6,13,987,65.0,4,123,8.97,Overstock,407.43,2025-03-13
114,6,14,606,81.0,8,152,40.83,Overstock,82.49,2025-01-30
115,6,15,350,77.0,7,70,49.19,Overstock,185.76,2024-12-27
116,6,16,822,66.0,1,329,10.14,Overstock,410.36,2024-11-19
117,6,17,396,53.0,2,126,15.79,Overstock,437.76,2024-12-30
118,6,18,313,72.0,7,119,44.87,Overstock,155.39,2025-09-23
119,6,19,792,75.0,9,72,11.36,Overstock,278.37,2025-08-02
120,6,20,449,93.0,10,196,24.77,Overstock,224.49,2024-12-14
121,7,1,389,100.0,7,266,49.69,Overstock,245.27,2025-03-31
122,7,2,635,92.0,7,216,33.69,Overstock,10.18,2025-01-22
123,7,3,700,86.0,10,166,44.29,Overstock,75.0,2024-10-05
124,7,4,691,57.0,9,289,46.8,Overstock,373.71,2024-10-14
125,7,5,491,91.0,9,71,22.39,Overstock,138.61,2025-05-22
126,7,6,876,95.0,3,267,9.11,Overstock,103.82,2025-08-26
127,7,7,580,96.0,9,137,18.7,Overstock,56.61,2025-02-11
128,7,8,815,88.0,10,309,7.54,Overstock,377.15,2024-11-29
129,7,9,462,80.0,4,333,49.13,Overstock,316.44,2025-03-24
130,7,10,523,70.0,4,162,13.16,Overstock,125.57,2025-03-30
131,7,11,901,54.0,9,248,47.23,Overstock,417.04,2024-10-30
132,7,12,975,80.0,1,256,39.82,Overstock,72.98,2024-10-16
133,7,13,349,83.0,8,33,19.84,Overstock,479.49,2024-10-27
134,7,14,684,77.0,6,125,49.37,Overstock,278.3,2025-05-29
135,7,15,944,77.0,10,139,28.14,Overstock,404.34,2024-11-25
136,7,16,608,91.0,3,256,6.86,Overstock,98.05,2025-05-05
137,7,17,951,94.0,2,64,42.38,Overstock,497.68,2025-01-22
138,7,18,774,72.0,7,210,31.14,Overstock,198.5,2025-08-11
139,7,19,316,93.0,6,68,44.03,Overstock,173.98,2025-05-27
140,7,20,862,57.0,6,270,31.48,Overstock,295.55,2025-04-22
141,8,1,448,56.0,8,93,7.95,Overstock,329.8,2025-08-13
142,8,2,769,61.0,8,159,28.8,Overstock,432.0,2025-06-29
143,8,3,863,94.0,9,338,16.56,Overstock,283.46,2024-12-12
144,8,4,718,97.0,2,120,43.24,Overstock,376.45,2024-10-16
145,8,5,894,93.0,7,102,21.02,Overstock,152.89,2025-01-28
146,8,6,806,71.0,10,81,11.76,Overstock,296.16,2024-11-30
147,8,7,667,98.0,2,55,43.0,Overstock,279.35,2025-08-15
148,8,8,385,95.0,4,327,9.31,Overstock,36.92,2025-08-12
149,8,9,912,50.0,1,5,28.89,Overstock,454.86,2025-07-15
150,8,10,855,99.0,9,4,36.95,Overstock,246.81,2025-07-28
151,8,11,364,95.0,3,171,37.17,Overstock,490.35,2025-06-27
152,8,12,600,92.0,6,233,42.2,Overstock,164.35,2025-05-24
153,8,13,904,76.0,3,25,23.39,Overstock,35.03,2025-04-27
154,8,14,754,61.0,6,155,48.07,Overstock,16.94,2025-01-04
155,8,15,681,98.0,1,186,27.5,Overstock,24.77,2025-06-17
156,8,16,638,90.0,7,305,39.1,Overstock,426.29,2025-06-20
157,8,17,555,82.0,8,66,13.37,Overstock,74.03,2025-08-26
158,8,18,407,86.0,10,312,9.82,Overstock,371.74,2024-12-29
159,8,19,486,97.0,7,315,22.6,Overstock,475.06,2025-07-04
160,8,20,724,90.0,4,62,15.04,Overstock,250.14,2025-05-17
161,9,1,769,89.0,6,331,15.28,Overstock,436.18,2024-11-05
162,9,2,636,56.0,1,275,40.33,Overstock,457.49,2024-11-01
163,9,3,574,63.0,2,252,26.01,Overstock,307.02,2024-11-04
164,9,4,548,84.0,1,174,33.71,Overstock,149.48,2025-10-01
165,9,5,849,97.0,2,274,36.31,Overstock,297.99,2025-09-19
166,9,6,533,51.0,3,269,37.15,Overstock,16.29,2024-10-22
167,9,7,519,96.0,3,49,41.8,Overstock,479.52,2024-12-10
168,9,8,871,58.0,7,145,10.24,Overstock,106.56,2025-01-12
169,9,9,461,97.0,6,216,10.97,Overstock,34.8,2025-03-29
170,9,10,929,93.0,3,342,36.65,Overstock,256.68,2025-05-24
171,9,11,508,60.0,2,200,22.88,Overstock,152.1,2025-09-04
172,9,12,551,57.0,10,229,23.4,Overstock,51.01,2025-01-18
173,9,13,872,93.0,1,133,8.7,Overstock,364.13,2025-08-14
174,9,14,480,70.0,2,179,10.84,Overstock,173.72,2025-03-27
175,9,15,706,73.0,10,38,19.1,Overstock,124.74,2025-08-06
176,9,16,912,50.0,8,360,12.81,Overstock,348.72,2025-08-19
177,9,17,468,54.0,6,277,36.14,Overstock,209.06,2024-12-01
178,9,18,934,58.0,5,110,16.39,Overstock,453.89,2024-10-16
179,9,19,784,90.0,9,128,15.18,Overstock,281.87,2025-09-29
180,9,20,365,72.0,2,258,49.49,Overstock,415.92,2025-06-23
181,10,1,441,76.0,3,70,43.17,Overstock,17.59,2025-01-28
182,10,2,882,95.0,9,343,5.08,Overstock,179.79,2025-04-17
183,10,3,330,50.0,3,60,30.55,Overstock,455.45,2025-05-25
184,10,4,485,88.0,4,231,39.38,Overstock,51.42,2025-02-21
185,10,5,816,52.0,6,168,33.58,Overstock,432.72,2025-05-23
186,10,6,573,90.0,4,344,20.42,Overstock,471.32,2025-07-11
187,10,7,838,81.0,6,3,30.63,Overstock,445.3,2024-12-19
188,10,8,932,90.0,7,340,13.78,Overstock,191.77,2025-01-19
189,10,9,557,56.0,6,102,48.94,Overstock,15.97,2025-06-16
190,10,10,925,89.0,3,118,8.11,Overstock,210.14,2024-10-07
191,10,11,412,71.0,7,353,46.44,Overstock,259.9,2024-12-12
192,10,12,920,53.0,5,199,10.08,Overstock,497.4,2025-02-01
193,10,13,781,80.0,1,126,36.14,Overstock,306.6,2025-06-14
194,10,14,775,74.0,8,170,9.92,Overstock,57.15,2025-09-18
195,10,15,546,88.0,6,137,26.27,Overstock,240.09,2024-12-07
196,10,16,484,79.0,8,122,14.51,Overstock,73.3,2024-10-21
197,10,17,793,74.0,3,82,42.54,Overstock,221.11,2025-09-01
198,10,18,763,79.0,1,232,33.32,Overstock,332.9,2025-09-28
199,10,19,606,85.0,4,131,40.2,Overstock,436.92,2025-06-21
200,10,20,690,76.0,3,246,12.45,Overstock,316.28,2025-03-28
201,11,1,716,61.0,4,219,45.27,Overstock,151.37,2025-08-08
202,11,2,772,81.0,4,318,39.01,Overstock,390.57,2025-07-14
203,11,3,514,99.0,1,238,12.08,Overstock,197.2,2024-11-30
204,11,4,324,64.0,4,39,18.17,Overstock,499.23,2024-10-13
205,11,5,636,74.0,3,173,49.25,Overstock,113.97,2025-01-11
206,11,6,731,80.0,2,89,20.64,Overstock,322.7,2025-01-26
207,11,7,986,87.0,7,303,13.98,Overstock,435.72,2025-09-26
208,11,8,912,66.0,6,10,46.7,Overstock,497.71,2025-01-19
209,11,9,404,91.0,3,111,41.42,Overstock,207.16,2025-06-10
210,11,10,368,96.0,4,350,18.82,Overstock,130.8,2025-03-24
211,11,11,904,83.0,9,65,18.09,Overstock,292.8,2025-01-21
212,11,12,753,59.0,9,304,30.9,Overstock,172.09,2025-06-14
213,11,13,618,60.0,1,100,16.45,Overstock,265.79,2025-03-10
214,11,14,876,78.0,3,104,44.62,Overstock,238.4,2025-09-19
215,11,15,508,56.0,8,353,38.95,Overstock,407.87,2025-02-18
216,11,16,485,91.0,10,341,42.57,Overstock,251.25,2024-11-02
217,11,17,469,84.0,5,151,18.01,Overstock,453.73,2025-02-15
218,11,18,504,65.0,4,182,23.29,Overstock,41.31,2025-06-07
219,11,19,487,78.0,7,265,23.67,Overstock,395.26,2025-09-12
220,11,20,755,54.0,9,271,9.75,Overstock,76.69,2025-05-28
221,12,1,754,98.0,4,170,41.24,Overstock,248.2,2025-03-15
222,12,2,661,74.0,7,305,43.47,Overstock,14.21,2025-01-09
223,12,3,915,94.0,10,148,26.44,Overstock,153.02,2024-11-02
224,12,4,414,95.0,4,44,14.26,Overstock,354.91,2025-08-15
225,12,5,822,69.0,3,75,46.33,Overstock,125.33,2025-02-23
226,12,6,540,91.0,3,355,30.61,Overstock,266.14,2025-09-26
227,12,7,629,68.0,3,154,17.57,Overstock,229.7,2025-01-18
228,12,8,879,58.0,3,219,35.75,Overstock,419.72,2025-04-14
229,12,9,532,86.0,1,225,41.84,Overstock,344.23,2025-08-15
230,12,10,822,52.0,6,335,7.26,Overstock,50.03,2025-08-18
231,12,11,668,62.0,9,216,26.01,Overstock,332.03,2025-02-23
232,12,12,837,88.0,4,83,13.72,Overstock,341.62,2025-06-15
233,12,13,620,61.0,1,179,33.43,Overstock,61.7,2025-02-09
234,12,14,559,58.0,10,200,44.39,Overstock,174.93,2024-10-23
235,12,15,367,62.0,8,261,44.21,Overstock,419.51,2025-01-28
236,12,16,959,56.0,9,180,22.29,Overstock,410.93,2025-07-14
237,12,17,741,87.0,9,337,23.3,Overstock,214.31,2025-01-27
238,12,18,727,72.0,10,296,27.45,Overstock,355.36,2025-06-23
239,12,19,693,55.0,5,216,44.37,Overstock,173.46,2024-12-04
240,12,20,869,68.0,1,304,32.62,Overstock,76.63,2024-11-07
241,13,1,700,94.0,1,34,28.59,Overstock,175.58,2024-10-01
242,13,2,969,50.0,9,24,8.42,Overstock,96.18,2024-10-26
243,13,3,932,75.0,2,288,15.27,Overstock,437.52,2025-07-12
244,13,4,719,80.0,1,310,13.46,Overstock,315.91,2025-05-02
245,13,5,599,58.0,2,220,7.69,Overstock,294.57,2025-03-12
246,13,6,705,73.0,4,234,43.64,Overstock,272.64,2025-08-09
247,13,7,367,61.0,7,316,47.79,Overstock,234.08,2024-12-24
248,13,8,940,99.0,5,33,19.95,Overstock,414.44,2025-09-06
249,13,9,665,99.0,5,109,9.38,Overstock,178.78,2025-08-29
250,13,10,622,82.0,7,196,26.74,Overstock,17.77,2025-09-27
251,13,11,382,87.0,10,23,27.14,Overstock,424.05,2024-10-26
252,13,12,529,51.0,4,82,25.12,Overstock,315.07,2024-12-07
253,13,13,437,61.0,6,4,32.57,Overstock,430.66,2025-09-19
254,13,14,505,72.0,3,94,7.37,Overstock,50.72,2025-01-30
255,13,15,922,71.0,10,86,39.39,Overstock,389.57,2024-10-02
256,13,16,338,57.0,8,79,23.08,Overstock,496.87,2025-08-30
257,13,17,692,75.0,10,69,26.53,Overstock,465.1,2025-02-15
258,13,18,698,78.0,9,44,19.71,Overstock,193.5,2024-12-12
259,13,19,527,76.0,3,186,38.52,Overstock,231.89,2025-02-01
260,13,20,953,69.0,3,26,37.46,Overstock,353.27,2025-07-20
261,14,1,871,100.0,4,50,35.32,Overstock,449.37,2024-11-30
262,14,2,863,64.0,6,15,36.95,Overstock,251.94,2025-08-05
263,14,3,434,94.0,6,158,34.41,Overstock,338.18,2025-03-16
264,14,4,789,68.0,1,245,29.72,Overstock,391.82,2025-07-25
265,14,5,407,66.0,2,266,15.37,Overstock,350.94,2025-01-09
266,14,6,719,98.0,5,104,44.79,Overstock,395.59,2024-12-10
267,14,7,529,55.0,8,26,15.41,Overstock,137.91,2024-12-22
268,14,8,922,64.0,4,196,36.67,Overstock,155.09,2024-12-01
269,14,9,769,100.0,6,256,28.3,Overstock,74.3,2025-05-18
270,14,10,523,91.0,6,128,37.05,Overstock,222.21,2024-11-26
271,14,11,529,68.0,9,306,37.1,Overstock,232.63,2025-04-06
272,14,12,413,95.0,9,215,10.63,Overstock,10.94,2025-08-13
273,14,13,419,85.0,1,85,37.65,Overstock,443.9,2025-03-26
274,14,14,447,63.0,1,32,38.85,Overstock,135.07,2025-09-19
275,14,15,429,80.0,1,79,49.64,Overstock,233.2,2025-01-22
276,14,16,967,97.0,8,355,46.24,Overstock,113.46,2025-06-01
277,14,17,387,84.0,9,133,18.19,Overstock,128.27,2025-05-24
278,14,18,672,69.0,7,141,30.35,Overstock,288.77,2025-07-12
279,14,19,968,79.0,9,45,13.31,Overstock,456.54,2024-10-01
280,14,20,513,85.0,6,118,8.22,Overstock,380.53,2025-01-13
281,15,1,637,93.0,10,183,47.73,Overstock,145.84,2025-04-26
282,15,2,629,69.0,2,100,40.97,Overstock,75.36,2025-02-06
283,15,3,614,77.0,10,64,45.15,Overstock,243.41,2024-12-15
284,15,4,385,87.0,10,19,23.29,Overstock,6.44,2024-12-12
285,15,5,819,95.0,6,319,33.82,Overstock,309.88,2025-01-23
286,15,6,756,98.0,2,182,33.64,Overstock,485.06,2025-07-24
287,15,7,808,84.0,10,122,19.89,Overstock,262.81,2025-07-18
288,15,8,738,72.0,8,89,46.9,Overstock,40.67,2025-05-29
289,15,9,656,92.0,10,77,40.83,Overstock,385.15,2025-03-27
290,15,10,335,57.0,2,142,49.76,Overstock,48.46,2025-01-26
291,15,11,546,59.0,3,200,43.38,Overstock,237.58,2025-03-18
292,15,12,987,84.0,1,266,18.41,Overstock,412.73,2024-12-27
293,15,13,528,84.0,10,249,18.96,Overstock,249.29,2024-10-23
294,15,14,884,82.0,3,272,18.38,Overstock,437.11,2025-04-14
295,15,15,422,55.0,5,118,25.63,Overstock,202.02,2025-07-30
296,15,16,508,70.0,4,74,8.58,Overstock,362.13,2025-06-23
297,15,17,306,67.0,1,254,15.77,Overstock,452.61,2025-01-23
298,15,18,385,57.0,10,185,49.03,Overstock,386.73,2025-08-04
299,15,19,433,79.0,10,82,38.96,Overstock,243.29,2024-12-13
300,15,20,653,68.0,8,86,25.26,Overstock,423.24,2024-11-12
301,16,1,679,59.0,4,190,22.03,Overstock,408.31,2025-07-23
302,16,2,448,65.0,3,364,30.34,Overstock,158.88,2024-11-08
303,16,3,634,84.0,7,346,22.39,Overstock,448.66,2025-05-05
304,16,4,391,53.0,8,342,20.81,Overstock,494.35,2025-07-30
305,16,5,458,52.0,4,112,24.52,Overstock,166.62,2024-12-15
306,16,6,992,95.0,3,330,12.69,Overstock,349.68,2024-11-03
307,16,7,638,86.0,7,212,6.78,Overstock,247.44,2025-04-15
308,16,8,812,77.0,4,333,38.51,Overstock,191.83,2025-09-27
309,16,9,542,76.0,5,211,38.75,Overstock,198.63,2025-02-21
310,16,10,746,97.0,1,319,48.11,Overstock,129.19,2025-03-13
311,16,11,411,92.0,6,243,38.6,Overstock,198.27,2024-11-09
312,16,12,352,79.0,8,353,38.88,Overstock,408.72,2025-03-10
313,16,13,593,53.0,9,361,36.33,Overstock,473.44,2025-02-11
314,16,14,699,98.0,2,350,8.01,Overstock,193.81,2024-11-23
315,16,15,934,56.0,5,298,18.22,Overstock,73.24,2025-07-09
316,16,16,819,81.0,5,174,14.76,Overstock,180.27,2025-03-24
317,16,17,938,100.0,2,356,45.51,Overstock,10.63,2024-11-07
318,16,18,659,74.0,7,40,17.19,Overstock,183.55,2025-05-06
319,16,19,833,60.0,10,3,49.44,Overstock,158.02,2024-11-22
320,16,20,568,52.0,9,262,41.48,Overstock,72.18,2025-07-16
321,17,1,523,92.0,4,91,33.53,Overstock,352.53,2024-12-29
322,17,2,989,98.0,9,153,49.72,Overstock,267.43,2024-12-26
323,17,3,460,59.0,6,31,38.92,Overstock,170.33,2025-01-19
324,17,4,704,78.0,9,206,26.47,Overstock,201.7,2025-09-02
325,17,5,817,94.0,10,54,14.13,Overstock,219.01,2024-11-03
326,17,6,955,60.0,5,237,7.92,Overstock,65.88,2025-08-16
327,17,7,382,62.0,9,19,31.7,Overstock,48.0,2024-12-04
328,17,8,378,59.0,6,184,14.88,Overstock,371.8,2024-12-30
329,17,9,359,97.0,10,359,45.58,Overstock,197.73,2025-03-01
330,17,10,329,76.0,4,43,10.95,Overstock,77.88,2025-08-26
331,17,11,718,63.0,2,299,49.86,Overstock,404.16,2025-09-12
332,17,12,973,69.0,4,69,7.64,Overstock,136.99,2025-04-07
333,17,13,731,66.0,4,87,11.03,Overstock,15.35,2025-08-12
334,17,14,601,95.0,1,313,40.92,Overstock,325.11,2024-10-02
335,17,15,563,88.0,3,307,10.92,Overstock,260.15,2025-07-31
336,17,16,784,73.0,5,346,9.64,Overstock,324.11,2024-12-30
337,17,17,924,62.0,10,335,28.05,Overstock,29.58,2025-04-03
338,17,18,762,55.0,2,80,25.06,Overstock,18.7,2025-03-14
339,17,19,701,90.0,2,353,10.22,Overstock,255.78,2025-08-20
340,17,20,802,57.0,10,91,47.9,Overstock,110.61,2025-07-12
341,18,1,568,83.0,5,221,8.92,Overstock,481.94,2025-07-08
342,18,2,352,51.0,1,352,47.89,Overstock,388.74,2025-04-07
343,18,3,412,51.0,2,246,32.81,Overstock,447.15,2024-11-05
344,18,4,432,92.0,2,186,28.93,Overstock,458.51,2025-03-28
345,18,5,603,54.0,2,151,35.27,Overstock,433.31,2025-06-08
346,18,6,397,79.0,6,308,39.05,Overstock,105.94,2025-08-16
347,18,7,901,56.0,8,179,17.39,Overstock,382.64,2025-02-18
348,18,8,664,53.0,7,173,26.05,Overstock,488.43,2025-07-18
349,18,9,970,55.0,1,138,47.48,Overstock,93.42,2025-06-07
350,18,10,953,84.0,2,167,7.48,Overstock,279.87,2025-05-29
351,18,11,646,56.0,10,284,37.59,Overstock,369.09,2024-12-15
352,18,12,480,99.0,7,288,36.84,Overstock,329.09,2025-03-27
353,18,13,472,52.0,3,12,49.9,Overstock,461.32,2024-10-22
354,18,14,801,88.0,1,320,41.68,Overstock,70.78,2025-02-01
355,18,15,520,81.0,1,63,20.67,Overstock,256.84,2025-03-09
356,18,16,474,99.0,4,114,41.62,Overstock,402.38,2025-06-14
357,18,17,805,98.0,8,90,41.19,Overstock,414.22,2025-01-18
358,18,18,356,50.0,10,12,34.12,Overstock,397.14,2025-02-14
359,18,19,548,83.0,4,350,8.54,Overstock,109.63,2025-06-03
360,18,20,327,90.0,6,302,8.09,Overstock,478.7,2025-05-04
361,19,1,557,82.0,9,103,27.0,Overstock,397.56,2025-03-09
362,19,2,959,62.0,9,149,16.86,Overstock,67.42,2025-06-01
363,19,3,377,62.0,1,79,40.57,Overstock,364.6,2025-07-28
364,19,4,334,72.0,5,265,21.66,Overstock,156.7,2024-12-27
365,19,5,582,82.0,7,145,15.36,Overstock,340.64,2024-10-29
366,19,6,791,76.0,2,292,40.25,Overstock,24.31,2024-10-13
367,19,7,634,65.0,5,204,28.13,Overstock,342.89,2025-05-20
368,19,8,340,89.0,5,302,25.95,Overstock,167.69,2024-10-06
369,19,9,976,93.0,2,125,31.44,Overstock,405.89,2024-11-14
370,19,10,306,84.0,2,278,28.4,Overstock,186.91,2025-01-01
371,19,11,916,67.0,5,1,5.59,Overstock,134.13,2024-12-29
372,19,12,550,98.0,10,309,12.53,Overstock,54.71,2025-03-28
373,19,13,387,99.0,4,310,33.99,Overstock,97.71,2025-02-25
374,19,14,726,64.0,2,67,30.52,Overstock,451.29,2024-10-09
375,19,15,811,71.0,7,318,31.11,Overstock,341.49,2025-08-06
376,19,16,906,86.0,10,260,17.9,Overstock,264.0,2025-09-23
377,19,17,877,96.0,8,9,33.09,Overstock,165.06,2025-02-26
378,19,18,621,80.0,3,196,42.07,Overstock,269.16,2025-06-09
379,19,19,511,90.0,4,185,30.08,Overstock,448.77,2025-09-29
380,19,20,498,52.0,9,161,18.7,Overstock,181.4,2025-07-18
381,20,1,678,52.0,5,156,49.61,Overstock,454.01,2025-05-07
382,20,2,400,65.0,8,31,27.54,Overstock,184.42,2024-12-23
383,20,3,685,93.0,2,63,33.09,Overstock,475.52,2024-12-04
384,20,4,486,95.0,4,214,8.83,Overstock,392.66,2024-10-26
